Conc1	1.8E-05	
Start1	2040.46	
Stop1	3240.66	
Kobs	579.735604579176	
Error Kobs	0	
Koff	0.717945856335516	
Error Koff	NaN	
Time1	Data1	Fit1	
2074.86	0.14908625	0.13142003	
2075.06	0.14857035	0.13142003	
2075.26	0.14843711	0.13142003	
2075.46	0.14835391	0.13142003	
2075.66	0.14802915	0.13142003	
2075.86	0.1483278	0.13142003	
2076.06	0.14802295	0.13142003	
2076.26	0.14784075	0.13142003	
2076.46	0.14763715	0.13142003	
2076.66	0.14752473	0.13142003	
2076.86	0.14714429	0.13142003	
2077.06	0.14727765	0.13142003	
2077.26	0.14793477	0.13142003	
2077.46	0.14812428	0.13142003	
2077.66	0.14817891	0.13142003	
2077.86	0.14808637	0.13142003	
2078.06	0.1474984	0.13142003	
2078.26	0.14734412	0.13142003	
2078.46	0.14691764	0.13142003	
2078.66	0.14707717	0.13142003	
2078.86	0.14681887	0.13142003	
2079.06	0.14691088	0.13142003	
2079.26	0.14676208	0.13142003	
2079.46	0.14638635	0.13142003	
2079.66	0.1462538	0.13142003	
2079.86	0.14646705	0.13142003	
2080.06	0.14575403	0.13142003	
2080.26	0.14584163	0.13142003	
2080.46	0.14546278	0.13142003	
2080.66	0.14544596	0.13142003	
2080.86	0.14576032	0.13142003	
2081.06	0.14610432	0.13142003	
2081.26	0.1463398	0.13142003	
2081.46	0.14584343	0.13142003	
2081.66	0.14589071	0.13142003	
2081.86	0.14515332	0.13142003	
2082.06	0.14427821	0.13142003	
2082.26	0.14436337	0.13142003	
2082.46	0.14376644	0.13142003	
2082.66	0.14386028	0.13142003	
2082.86	0.14403704	0.13142003	
2083.06	0.14457205	0.13142003	
2083.26	0.14375685	0.13142003	
2083.46	0.14378076	0.13142003	
2083.66	0.14405089	0.13142003	
2083.86	0.14411245	0.13142003	
2084.06	0.14371511	0.13142003	
2084.26	0.14377453	0.13142003	
2084.46	0.14339958	0.13142003	
2084.66	0.14337606	0.13142003	
2084.86	0.14332149	0.13142003	
2085.06	0.14350598	0.13142003	
2085.26	0.1433795	0.13142003	
2085.46	0.14305402	0.13142003	
2085.66	0.14249214	0.13142003	
2085.86	0.14229069	0.13142003	
2086.06	0.14225637	0.13142003	
2086.26	0.14245722	0.13142003	
2086.46	0.14269371	0.13142003	
2086.66	0.14302739	0.13142003	
2086.86	0.14349844	0.13142003	
2087.06	0.14301391	0.13142003	
2087.26	0.14273803	0.13142003	
2087.46	0.14285702	0.13142003	
2087.66	0.14262739	0.13142003	
2087.86	0.14210958	0.13142003	
2088.06	0.14219378	0.13142003	
2088.26	0.14163178	0.13142003	
2088.46	0.14128097	0.13142003	
2088.66	0.14117394	0.13142003	
2088.86	0.14142254	0.13142003	
2089.06	0.14119067	0.13142003	
2089.26	0.14097278	0.13142003	
2089.46	0.14079405	0.13142003	
2089.66	0.14073272	0.13142003	
2089.86	0.14146663	0.13142003	
2090.06	0.14147761	0.13142003	
2090.26	0.14163596	0.13142003	
2090.46	0.14179492	0.13142003	
2090.66	0.14157826	0.13142003	
2090.86	0.14210982	0.13142003	
2091.06	0.14198223	0.13142003	
2091.26	0.14196318	0.13142003	
2091.46	0.14149365	0.13142003	
2091.66	0.14159128	0.13142003	
2091.86	0.14113067	0.13142003	
2092.06	0.14159687	0.13142003	
