Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0013827313005384	
Error Kobs	4.38955840558243E-06	
Koff	0.00297290149362234	
Error Koff	NaN	
Time1	Data1	Fit1	
726.42	0.03690099	0.03552012	
726.62	0.03670036	0.03557671	
726.82	0.03726692	0.03563327	
727.02	0.03689445	0.0356898	
727.22	0.03700919	0.03574629	
727.42	0.03730373	0.03580276	
727.62	0.03725952	0.0358592	
727.82	0.03804934	0.0359156	
728.02	0.03855713	0.03597198	
728.22	0.03874029	0.03602833	
728.42	0.03857908	0.03608465	
728.62	0.03829268	0.03614094	
728.82	0.0383871	0.03619721	
729.02	0.03781053	0.03625345	
729.22	0.03760303	0.03630966	
729.42	0.03724017	0.03636585	
729.62	0.03714269	0.03642201	
729.82	0.03741938	0.03647815	
730.02	0.03774585	0.03653427	
730.22	0.03727543	0.03659036	
730.42	0.03720643	0.03664642	
730.62	0.03677711	0.03670247	
730.82	0.03699764	0.03675849	
731.02	0.03668289	0.03681449	
731.22	0.03689373	0.03687046	
731.42	0.03719533	0.03692641	
731.62	0.03698963	0.03698235	
731.82	0.03738995	0.03703826	
732.02	0.03748018	0.03709414	
732.22	0.03741084	0.03715001	
732.42	0.0367556	0.03720586	
732.62	0.03708501	0.03726169	
732.82	0.03696914	0.03731749	
733.02	0.03701498	0.03737328	
733.22	0.03714583	0.03742905	
733.42	0.0373754	0.03748479	
733.62	0.03733907	0.03754052	
733.82	0.03753311	0.03759623	
734.02	0.03710535	0.03765191	
734.22	0.03668208	0.03770758	
734.42	0.03648494	0.03776323	
734.62	0.03588804	0.03781887	
734.82	0.03635355	0.03787448	
735.02	0.03659316	0.03793007	
735.22	0.03749018	0.03798565	
735.42	0.03799944	0.03804121	
735.62	0.03837296	0.03809675	
735.82	0.03896223	0.03815227	
736.02	0.03940559	0.03820777	
736.22	0.04012044	0.03826326	
736.42	0.03988721	0.03831873	
736.62	0.04061481	0.03837418	
736.82	0.04099274	0.03842961	
737.02	0.0410364	0.03848503	
737.22	0.04083617	0.03854043	
737.42	0.04031347	0.03859581	
737.62	0.03975516	0.03865118	
737.82	0.03969658	0.03870652	
738.02	0.03928089	0.03876186	
738.22	0.03905437	0.03881717	
738.42	0.03850596	0.03887247	
738.62	0.03803823	0.03892775	
738.82	0.03853827	0.03898301	
739.02	0.0392097	0.03903826	
739.22	0.03937756	0.03909349	
739.42	0.03938492	0.0391487	
739.62	0.03914222	0.0392039	
739.82	0.03903825	0.03925908	
740.02	0.03910653	0.03931425	
740.22	0.03922235	0.03936939	
740.42	0.03918733	0.03942453	
740.62	0.04005078	0.03947964	
740.82	0.04001846	0.03953474	
741.02	0.03966732	0.03958983	
741.22	0.03982446	0.0396449	
741.42	0.03972949	0.03969995	
741.62	0.03989126	0.03975498	
741.82	0.03998883	0.03981	
742.02	0.04032386	0.03986501	
742.22	0.04045853	0.03992	
742.42	0.0407904	0.03997497	
742.62	0.04073328	0.04002992	
742.82	0.04129946	0.04008486	
743.02	0.04161812	0.04013979	
743.22	0.04119423	0.0401947	
743.42	0.04104958	0.04024959	
743.62	0.04081377	0.04030447	
743.82	0.0412052	0.04035933	
744.02	0.04116851	0.04041418	
744.22	0.04148616	0.04046901	
744.42	0.04167837	0.04052382	
744.62	0.04136646	0.04057862	
744.82	0.0412314	0.04063341	
745.02	0.0416556	0.04068818	
745.22	0.04151647	0.04074293	
745.42	0.04123646	0.04079767	
745.62	0.04125339	0.04085239	
745.82	0.04136479	0.0409071	
746.02	0.04170035	0.04096179	
746.22	0.04173029	0.04101646	
746.42	0.04205514	0.04107112	
746.62	0.04178532	0.04112577	
746.82	0.04216787	0.0411804	
747.02	0.04265319	0.04123501	
747.22	0.04285772	0.04128961	
747.42	0.04285748	0.04134419	
747.62	0.04325856	0.04139876	
747.82	0.04342587	0.04145332	
748.02	0.04331105	0.04150785	
748.22	0.04344024	0.04156238	
748.42	0.04370233	0.04161688	
748.62	0.04353743	0.04167137	
748.82	0.04385222	0.04172585	
749.02	0.0437766	0.04178031	
749.22	0.04326037	0.04183476	
749.42	0.04351611	0.04188919	
749.62	0.04369788	0.04194361	
749.82	0.0433015	0.04199801	
750.02	0.04319534	0.04205239	
750.22	0.04274441	0.04210676	
750.42	0.04288907	0.04216112	
750.62	0.04275719	0.04221546	
750.82	0.0430638	0.04226978	
751.02	0.04323277	0.04232409	
751.22	0.04314892	0.04237839	
751.42	0.04309011	0.04243267	
751.62	0.04353004	0.04248693	
751.82	0.04351931	0.04254118	
752.02	0.04356176	0.04259541	
752.22	0.04381571	0.04264963	
752.42	0.04399991	0.04270384	
752.62	0.04367591	0.04275803	
752.82	0.04372762	0.0428122	
753.02	0.04376655	0.04286636	
753.22	0.04360245	0.0429205	
753.42	0.04385901	0.04297463	
753.62	0.0433279	0.04302875	
753.82	0.04289283	0.04308284	
754.02	0.04282799	0.04313693	
754.22	0.04283953	0.043191	
754.42	0.04271299	0.04324505	
754.62	0.04256012	0.04329909	
754.82	0.0428489	0.04335311	
755.02	0.04248579	0.04340712	
755.22	0.04269138	0.04346112	
755.42	0.04299732	0.04351509	
755.62	0.04336203	0.04356906	
755.82	0.04354986	0.04362301	
756.02	0.0432886	0.04367694	
756.22	0.04331152	0.04373086	
756.42	0.04332041	0.04378476	
756.62	0.04367682	0.04383865	
756.82	0.04415313	0.04389253	
757.02	0.04420272	0.04394639	
757.22	0.0445571	0.04400023	
757.42	0.04509446	0.04405406	
757.62	0.04522925	0.04410788	
757.82	0.04583894	0.04416167	
758.02	0.04648042	0.04421546	
758.22	0.04666184	0.04426923	
758.42	0.04657183	0.04432298	
758.62	0.04726303	0.04437672	
758.82	0.04769293	0.04443045	
759.02	0.04749321	0.04448416	
759.22	0.04765044	0.04453786	
759.42	0.04768918	0.04459154	
759.62	0.04736043	0.0446452	
759.82	0.0465817	0.04469885	
760.02	0.0458489	0.04475249	
760.22	0.04571299	0.04480611	
760.42	0.04581278	0.04485972	
760.62	0.04568947	0.04491331	
760.82	0.04545176	0.04496688	
761.02	0.04500203	0.04502045	
761.22	0.0454272	0.04507399	
761.42	0.04558218	0.04512752	
761.62	0.04545851	0.04518104	
761.82	0.04567969	0.04523454	
762.02	0.04614721	0.04528803	
762.22	0.0463324	0.0453415	
762.42	0.04646724	0.04539496	
762.62	0.04702674	0.04544841	
762.82	0.04704474	0.04550183	
763.02	0.0468108	0.04555525	
763.22	0.04715043	0.04560865	
763.42	0.04695651	0.04566203	
763.62	0.04688391	0.0457154	
763.82	0.0468384	0.04576876	
764.02	0.04702367	0.0458221	
764.22	0.04720014	0.04587542	
764.42	0.04726689	0.04592873	
764.62	0.0471072	0.04598203	
764.82	0.04673964	0.04603531	
765.02	0.04654573	0.04608857	
765.22	0.04657063	0.04614183	
765.42	0.04648927	0.04619506	
765.62	0.04634578	0.04624828	
765.82	0.04670078	0.04630149	
766.02	0.04678826	0.04635468	
766.22	0.04641933	0.04640786	
766.42	0.04596218	0.04646103	
766.62	0.04640771	0.04651417	
766.82	0.04670921	0.04656731	
767.02	0.04698377	0.04662043	
767.22	0.04771252	0.04667353	
767.42	0.04733368	0.04672662	
767.62	0.04779642	0.0467797	
767.82	0.04792865	0.04683276	
768.02	0.04806849	0.0468858	
768.22	0.04814623	0.04693883	
768.42	0.04808905	0.04699185	
768.62	0.0477685	0.04704485	
768.82	0.04719563	0.04709784	
769.02	0.04721317	0.04715081	
769.22	0.04721685	0.04720377	
769.42	0.04691711	0.04725671	
769.62	0.04688154	0.04730964	
769.82	0.04691909	0.04736255	
770.02	0.04683139	0.04741545	
770.22	0.0468942	0.04746834	
770.42	0.04702674	0.04752121	
770.62	0.04726971	0.04757406	
770.82	0.04713184	0.0476269	
771.02	0.04725984	0.04767973	
771.22	0.0480945	0.04773254	
771.42	0.04814459	0.04778534	
771.62	0.04879984	0.04783812	
771.82	0.04885162	0.04789089	
772.02	0.04919651	0.04794364	
772.22	0.04937908	0.04799638	
772.42	0.04979695	0.0480491	
772.62	0.04979064	0.04810181	
772.82	0.05011253	0.0481545	
773.02	0.0505257	0.04820718	
773.22	0.05041611	0.04825985	
773.42	0.05018921	0.0483125	
773.62	0.05013593	0.04836514	
773.82	0.05052042	0.04841776	
774.02	0.05046676	0.04847037	
774.22	0.05039346	0.04852296	
774.42	0.05017722	0.04857554	
774.62	0.04954079	0.0486281	
774.82	0.0492125	0.04868065	
775.02	0.04930234	0.04873318	
775.22	0.04956448	0.0487857	
775.42	0.048592	0.04883821	
775.62	0.04845008	0.0488907	
775.82	0.04794694	0.04894318	
776.02	0.04878517	0.04899564	
776.22	0.0493605	0.04904809	
776.42	0.0497487	0.04910052	
776.62	0.05029804	0.04915294	
776.82	0.05057511	0.04920534	
777.02	0.05092761	0.04925773	
777.22	0.05069162	0.04931011	
777.42	0.05045739	0.04936247	
777.62	0.05062781	0.04941481	
777.82	0.0508469	0.04946715	
778.02	0.05100617	0.04951946	
778.22	0.05144225	0.04957177	
778.42	0.05149218	0.04962405	
778.62	0.05131103	0.04967633	
778.82	0.05143656	0.04972859	
779.02	0.05109076	0.04978083	
779.22	0.050513	0.04983306	
779.42	0.04992109	0.04988528	
779.62	0.05050441	0.04993748	
779.82	0.05092092	0.04998967	
780.02	0.05169485	0.05004184	
780.22	0.05186326	0.050094	
780.42	0.0519053	0.05014614	
780.62	0.0515621	0.05019827	
780.82	0.05140252	0.05025039	
781.02	0.05101584	0.05030249	
781.22	0.05070662	0.05035457	
781.42	0.05063751	0.05040664	
781.62	0.05076886	0.0504587	
781.82	0.05072591	0.05051074	
782.02	0.05119378	0.05056277	
782.22	0.05140815	0.05061479	
