Conc1	1E-10	
Start1	450.03	
Stop1	2549.82	
Kobs	0.00296991435847791	
Error Kobs	0.000580990947569767	
Koff	0.00304361578885207	
Error Koff	NaN	
Time1	Data1	Fit1	
486.43	0.00848806	0.0082125	
486.63	0.00838233	0.00822472	
486.83	0.00787366	0.00823694	
487.03	0.00798792	0.00824915	
487.23	0.00854293	0.00826136	
487.43	0.00865479	0.00827356	
487.63	0.00864873	0.00828575	
487.83	0.00857923	0.00829793	
488.03	0.00883677	0.00831011	
488.23	0.0090662	0.00832229	
488.43	0.00949703	0.00833445	
488.63	0.00947468	0.00834661	
488.83	0.00950491	0.00835877	
489.03	0.00975611	0.00837092	
489.23	0.00968656	0.00838306	
489.43	0.00971504	0.00839519	
489.63	0.00898585	0.00840732	
489.83	0.00909543	0.00841944	
490.03	0.00867372	0.00843156	
490.23	0.00856665	0.00844367	
490.43	0.00809391	0.00845577	
490.63	0.00778665	0.00846787	
490.83	0.00752074	0.00847996	
491.03	0.00779753	0.00849205	
491.23	0.00773748	0.00850412	
491.43	0.00742187	0.0085162	
491.63	0.00717577	0.00852826	
491.83	0.00724024	0.00854032	
492.03	0.00729029	0.00855237	
492.23	0.00764605	0.00856442	
492.43	0.00793863	0.00857646	
492.63	0.00810787	0.0085885	
492.83	0.00808858	0.00860052	
493.03	0.00880856	0.00861255	
493.23	0.00914177	0.00862456	
493.43	0.00909918	0.00863657	
493.63	0.00920787	0.00864857	
493.83	0.0098431	0.00866057	
494.03	0.00987076	0.00867256	
494.23	0.00996601	0.00868454	
494.43	0.00981944	0.00869652	
494.63	0.00982103	0.00870849	
494.83	0.00940889	0.00872046	
495.03	0.00974369	0.00873242	
495.23	0.00986454	0.00874437	
495.43	0.01019206	0.00875632	
495.63	0.01026204	0.00876826	
495.83	0.01027329	0.00878019	
496.03	0.01033109	0.00879212	
496.23	0.00996912	0.00880404	
496.43	0.00952887	0.00881596	
496.63	0.00933182	0.00882787	
496.83	0.00924697	0.00883977	
497.03	0.00929174	0.00885167	
497.23	0.00834428	0.00886356	
497.43	0.00809934	0.00887544	
497.63	0.00848989	0.00888732	
497.83	0.0085575	0.00889919	
498.03	0.00841741	0.00891106	
498.23	0.00853365	0.00892292	
498.43	0.00859589	0.00893477	
498.63	0.00881333	0.00894662	
498.83	0.00901438	0.00895846	
499.03	0.00982657	0.0089703	
499.23	0.01008914	0.00898213	
499.43	0.01004214	0.00899395	
499.63	0.01034092	0.00900577	
499.83	0.01009545	0.00901758	
500.03	0.00986666	0.00902938	
500.23	0.00960766	0.00904118	
500.43	0.00958915	0.00905297	
500.63	0.00965207	0.00906476	
500.83	0.00953099	0.00907654	
501.03	0.00938082	0.00908831	
501.23	0.0092766	0.00910008	
501.43	0.00970894	0.00911184	
501.63	0.01031885	0.0091236	
501.83	0.01011301	0.00913535	
502.03	0.0102557	0.00914709	
502.23	0.01079491	0.00915883	
502.43	0.01094111	0.00917056	
502.63	0.01142286	0.00918228	
502.83	0.01144736	0.009194	
503.03	0.01141467	0.00920571	
503.23	0.01144454	0.00921742	
503.43	0.01127297	0.00922912	
503.63	0.01131964	0.00924082	
503.83	0.01105404	0.0092525	
504.03	0.01100316	0.00926419	
504.23	0.01114439	0.00927586	
504.43	0.0111516	0.00928753	
504.63	0.01100806	0.0092992	
504.83	0.01067557	0.00931085	
505.03	0.01055826	0.00932251	
505.23	0.01073543	0.00933415	
505.43	0.01058257	0.00934579	
505.63	0.01052203	0.00935743	
505.83	0.00988741	0.00936905	
506.03	0.00968884	0.00938068	
506.23	0.00988175	0.00939229	
506.43	0.0091168	0.0094039	
506.63	0.00898769	0.00941551	
506.83	0.00870022	0.0094271	
507.03	0.00886553	0.0094387	
507.23	0.00917422	0.00945028	
507.43	0.00955446	0.00946186	
507.63	0.00958704	0.00947343	
507.83	0.00969848	0.009485	
508.03	0.00991852	0.00949656	
508.23	0.01045491	0.00950812	
508.43	0.01038131	0.00951967	
508.63	0.01007457	0.00953121	
508.83	0.01014324	0.00954275	
509.03	0.01041559	0.00955428	
509.23	0.01096561	0.00956581	
509.43	0.01064137	0.00957733	
509.63	0.01054088	0.00958884	
509.83	0.01012668	0.00960035	
510.03	0.01016131	0.00961185	
510.23	0.01030389	0.00962335	
510.43	0.01018496	0.00963484	
510.63	0.01043843	0.00964632	
510.83	0.0104471	0.0096578	
511.03	0.01037592	0.00966927	
511.23	0.01114469	0.00968074	
511.43	0.01138744	0.0096922	
511.63	0.01105723	0.00970365	
511.83	0.01085181	0.0097151	
512.03	0.01057205	0.00972654	
512.23	0.0102169	0.00973798	
512.43	0.00933929	0.00974941	
512.63	0.00866554	0.00976084	
512.83	0.0085026	0.00977225	
513.03	0.00867857	0.00978367	
513.23	0.00892361	0.00979507	
513.43	0.00875155	0.00980647	
513.63	0.00890653	0.00981787	
513.83	0.00955264	0.00982926	
514.03	0.00976958	0.00984064	
514.23	0.01042569	0.00985202	
514.43	0.01050408	0.00986339	
514.63	0.01072945	0.00987476	
514.83	0.01044845	0.00988612	
515.03	0.01051028	0.00989747	
515.23	0.01082325	0.00990882	
515.43	0.01077802	0.00992016	
515.63	0.01060659	0.0099315	
515.83	0.01016026	0.00994283	
516.03	0.00993947	0.00995415	
516.23	0.00965681	0.00996547	
516.43	0.0091515	0.00997678	
516.63	0.00896081	0.00998809	
516.83	0.00888539	0.00999939	
517.03	0.00863748	0.01001069	
517.23	0.00842433	0.01002198	
517.43	0.00822764	0.01003326	
517.63	0.00790957	0.01004454	
517.83	0.00794908	0.01005581	
518.03	0.00752091	0.01006708	
518.23	0.00754796	0.01007834	
518.43	0.00747558	0.01008959	
518.63	0.00793988	0.01010084	
518.83	0.00772577	0.01011208	
519.03	0.00832924	0.01012332	
519.23	0.0094641	0.01013455	
519.43	0.01020461	0.01014578	
519.63	0.01012398	0.010157	
519.83	0.01029046	0.01016821	
520.03	0.0110473	0.01017942	
520.23	0.01112549	0.01019062	
520.43	0.01122715	0.01020182	
520.63	0.01156505	0.01021301	
520.83	0.01162579	0.0102242	
521.03	0.01129065	0.01023537	
