Conc1	5E-09	
Start1	689.99	
Stop1	2789.79	
Kobs	0.00380373082482393	
Error Kobs	NaN	
Koff	0.00322384717252245	
Error Koff	NaN	
Time1	Data1	Fit1	
726.39	0.02976836	0.03761623	
726.59	0.02959656	0.03777734	
726.79	0.0291502	0.03793833	
726.99	0.02942785	0.03809919	
727.19	0.02949039	0.03825993	
727.39	0.02935393	0.03842055	
727.59	0.02922587	0.03858105	
727.79	0.02880334	0.03874143	
727.99	0.02895573	0.03890168	
728.19	0.02937129	0.03906181	
728.39	0.0296272	0.03922182	
728.59	0.029815	0.03938171	
728.79	0.02983927	0.03954148	
728.99	0.0297876	0.03970112	
729.19	0.03019523	0.03986065	
729.39	0.03082367	0.04002005	
729.59	0.03131832	0.04017933	
729.79	0.03200197	0.04033849	
729.99	0.03281543	0.04049753	
730.19	0.03276732	0.04065645	
730.39	0.0325187	0.04081525	
730.59	0.03321337	0.04097392	
730.79	0.03374982	0.04113248	
730.99	0.03430441	0.04129091	
731.19	0.03400645	0.04144923	
731.39	0.03404836	0.04160742	
731.59	0.03397759	0.0417655	
731.79	0.03402112	0.04192345	
731.99	0.03458501	0.04208129	
732.19	0.034622	0.042239	
732.39	0.03485178	0.04239659	
732.59	0.03520499	0.04255407	
732.79	0.03509585	0.04271142	
732.99	0.03528171	0.04286866	
733.19	0.03529573	0.04302577	
733.39	0.03524834	0.04318277	
733.59	0.03545546	0.04333964	
733.79	0.03533802	0.0434964	
733.99	0.0349825	0.04365304	
734.19	0.03528116	0.04380956	
734.39	0.03532914	0.04396596	
734.59	0.03559695	0.04412224	
734.79	0.03539955	0.0442784	
734.99	0.03503429	0.04443444	
735.19	0.03482971	0.04459037	
735.39	0.03527832	0.04474617	
735.59	0.03486469	0.04490186	
735.79	0.03527013	0.04505743	
735.99	0.03545226	0.04521288	
736.19	0.03610015	0.04536821	
736.39	0.03689319	0.04552343	
736.59	0.03747748	0.04567852	
736.79	0.03727885	0.0458335	
736.99	0.03781183	0.04598836	
737.19	0.03822906	0.04614311	
737.39	0.03846631	0.04629773	
737.59	0.03905423	0.04645224	
737.79	0.03890717	0.04660663	
737.99	0.0391127	0.0467609	
738.19	0.03929571	0.04691506	
738.39	0.03921726	0.04706909	
738.59	0.0391581	0.04722302	
738.79	0.03905188	0.04737682	
738.99	0.03919674	0.04753051	
739.19	0.03909491	0.04768408	
739.39	0.03909085	0.04783753	
739.59	0.03862276	0.04799087	
739.79	0.03913248	0.04814409	
739.99	0.03934877	0.04829719	
740.19	0.04047491	0.04845018	
740.39	0.04055241	0.04860305	
740.59	0.04118747	0.0487558	
740.79	0.04115824	0.04890844	
740.99	0.04206211	0.04906096	
741.19	0.0424234	0.04921337	
741.39	0.04269644	0.04936566	
741.59	0.04277603	0.04951783	
741.79	0.04269208	0.04966989	
741.99	0.0427858	0.04982184	
742.19	0.04260989	0.04997366	
742.39	0.04285013	0.05012538	
742.59	0.04287115	0.05027697	
742.79	0.04252929	0.05042845	
742.99	0.0421617	0.05057982	
743.19	0.04172966	0.05073107	
743.39	0.04168305	0.05088221	
743.59	0.04117925	0.05103323	
743.79	0.04126038	0.05118413	
743.99	0.04131408	0.05133493	
