Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	8.28422576065814E-49	
Error Kobs	2.54986016066768E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
726.42	0.17276983	0.18150974	
726.62	0.17339034	0.18205556	
726.82	0.17430732	0.1825984	
727.02	0.17393557	0.18313828	
727.22	0.17460154	0.18367523	
727.42	0.1750982	0.18420926	
727.62	0.17513428	0.1847404	
727.82	0.17515384	0.18526867	
728.02	0.1754076	0.18579408	
728.22	0.17601811	0.18631666	
728.42	0.17654448	0.18683643	
728.62	0.17664255	0.18735341	
728.82	0.17656802	0.18786762	
729.02	0.17668128	0.18837908	
729.22	0.1767698	0.18888781	
729.42	0.17749096	0.18939383	
729.62	0.17819784	0.18989715	
729.82	0.17921734	0.19039781	
730.02	0.17964408	0.19089581	
730.22	0.1801842	0.19139118	
730.42	0.180651	0.19188393	
730.62	0.181344	0.19237409	
730.82	0.18134883	0.19286167	
731.02	0.18110643	0.1933467	
731.22	0.18183721	0.19382918	
731.42	0.18204523	0.19430914	
731.62	0.18253167	0.1947866	
731.82	0.18308701	0.19526157	
732.02	0.18380174	0.19573408	
732.22	0.18478134	0.19620413	
732.42	0.18523581	0.19667175	
732.62	0.18539347	0.19713696	
732.82	0.18555515	0.19759977	
733.02	0.18628232	0.1980602	
733.22	0.18638687	0.19851827	
733.42	0.18663055	0.19897399	
733.62	0.18741167	0.19942738	
733.82	0.18794041	0.19987846	
734.02	0.1888133	0.20032724	
734.22	0.18926227	0.20077374	
734.42	0.18925842	0.20121798	
734.62	0.18943843	0.20165998	
734.82	0.18927365	0.20209974	
735.02	0.18954727	0.20253728	
735.22	0.18957154	0.20297263	
735.42	0.18956173	0.20340579	
735.62	0.1899826	0.20383679	
735.82	0.19048679	0.20426563	
736.02	0.19112582	0.20469234	
736.22	0.19200875	0.20511692	
736.42	0.1922813	0.2055394	
736.62	0.19241294	0.20595979	
736.82	0.19340105	0.20637809	
737.02	0.19390284	0.20679434	
737.22	0.19427704	0.20720854	
737.42	0.19493115	0.20762071	
737.62	0.19530136	0.20803086	
737.82	0.19568674	0.208439	
738.02	0.19612299	0.20884516	
738.22	0.19590063	0.20924933	
738.42	0.19586474	0.20965155	
738.62	0.19575077	0.21005182	
738.82	0.19580886	0.21045016	
739.02	0.19596754	0.21084658	
739.22	0.19638598	0.21124109	
739.42	0.19732062	0.2116337	
739.62	0.19818575	0.21202444	
739.82	0.19867069	0.21241331	
740.02	0.19891615	0.21280033	
740.22	0.19970071	0.21318551	
740.42	0.20020268	0.21356886	
740.62	0.20121302	0.2139504	
740.82	0.20201864	0.21433014	
741.02	0.20191951	0.21470809	
