Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	8.2422287534681E-49	
Error Kobs	3.3634868140018E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
726.62	0.4462527	0.45129103	
726.82	0.44665054	0.45166404	
727.02	0.44669795	0.45203662	
727.22	0.4472473	0.45240876	
727.42	0.44783929	0.45278046	
727.62	0.44794814	0.45315171	
727.82	0.44817064	0.45352253	
728.02	0.44855096	0.45389291	
728.22	0.44872324	0.45426285	
728.42	0.44909203	0.45463236	
728.62	0.4495419	0.45500142	
728.82	0.45001474	0.45537006	
729.02	0.45066412	0.45573825	
729.22	0.45115279	0.45610601	
729.42	0.45167438	0.45647333	
729.62	0.45236605	0.45684022	
729.82	0.45327164	0.45720668	
730.02	0.45383688	0.4575727	
730.22	0.45403087	0.45793829	
730.42	0.45471525	0.45830345	
730.62	0.45582676	0.45866818	
730.82	0.4561646	0.45903247	
731.02	0.45644281	0.45939633	
731.22	0.456759	0.45975977	
731.42	0.45652734	0.46012277	
731.62	0.45644938	0.46048535	
731.82	0.45672834	0.46084749	
732.02	0.45685498	0.46120921	
732.22	0.45740966	0.4615705	
732.42	0.45778418	0.46193136	
732.62	0.45806251	0.4622918	
732.82	0.45811482	0.46265181	
733.02	0.45879973	0.46301139	
733.22	0.45871155	0.46337055	
733.42	0.45867686	0.46372928	
733.62	0.45946057	0.46408759	
733.82	0.45970013	0.46444548	
734.02	0.46024818	0.46480294	
734.22	0.46055034	0.46515998	
734.42	0.46108585	0.4655166	
734.62	0.46141701	0.46587279	
734.82	0.46153191	0.46622857	
735.02	0.46195006	0.46658392	
735.22	0.46221117	0.46693886	
735.42	0.46233526	0.46729337	
735.62	0.4627669	0.46764747	
735.82	0.46345522	0.46800114	
736.02	0.46401681	0.4683544	
736.22	0.46486669	0.46870724	
736.42	0.4649897	0.46905966	
736.62	0.46519316	0.46941167	
736.82	0.46565119	0.46976326	
737.02	0.46625848	0.47011443	
737.22	0.46622253	0.47046519	
737.42	0.46617347	0.47081554	
737.62	0.46608019	0.47116547	
737.82	0.46615299	0.47151498	
738.02	0.46646714	0.47186409	
738.22	0.46671241	0.47221278	
738.42	0.4668053	0.47256105	
738.62	0.46688278	0.47290892	
738.82	0.46726944	0.47325637	
739.02	0.4679528	0.47360342	
739.22	0.46812812	0.47395005	
739.42	0.46893982	0.47429627	
739.62	0.46976383	0.47464209	
739.82	0.47039299	0.47498749	
740.02	0.47058136	0.47533249	
740.22	0.47110847	0.47567708	
740.42	0.47132442	0.47602126	
740.62	0.47167027	0.47636503	
740.82	0.47206048	0.4767084	
741.02	0.47183335	0.47705136	
741.22	0.47189414	0.47739392	
741.42	0.47178999	0.47773607	
741.62	0.47169186	0.47807782	
741.82	0.4723747	0.47841916	
742.02	0.47237061	0.4787601	
742.22	0.47292355	0.47910063	
742.42	0.47340978	0.47944077	
742.62	0.47358373	0.4797805	
742.82	0.473934	0.48011982	
743.02	0.47499547	0.48045875	
743.22	0.47521985	0.48079728	
743.42	0.47565888	0.48113541	
743.62	0.47576467	0.48147313	
743.82	0.47592403	0.48181046	
744.02	0.47605382	0.48214739	
744.22	0.47732361	0.48248392	
744.42	0.47768407	0.48282005	
744.62	0.4780718	0.48315578	
744.82	0.47859457	0.48349112	
745.02	0.47888884	0.48382606	
745.22	0.47925152	0.48416061	
745.42	0.479527	0.48449476	
745.62	0.47988064	0.48482851	
745.82	0.47999988	0.48516187	
746.02	0.48051072	0.48549483	
746.22	0.48109132	0.48582741	
746.42	0.48132122	0.48615958	
746.62	0.48128322	0.48649137	
746.82	0.48143314	0.48682276	
747.02	0.48188371	0.48715376	
747.22	0.48157783	0.48748437	
747.42	0.4820766	0.48781459	
747.62	0.48284558	0.48814442	
747.82	0.48357212	0.48847386	
748.02	0.48381089	0.48880291	
748.22	0.48474592	0.48913157	
748.42	0.48468175	0.48945984	
748.62	0.48460744	0.48978772	
748.82	0.4848407	0.49011522	
749.02	0.48512744	0.49044232	
749.22	0.485349	0.49076904	
749.42	0.48554261	0.49109538	
749.62	0.48544009	0.49142133	
749.82	0.48490742	0.49174689	
750.02	0.48543585	0.49207207	
750.22	0.48509579	0.49239686	
750.42	0.48529337	0.49272127	
750.62	0.48521999	0.4930453	
750.82	0.48542785	0.49336894	
751.02	0.48553553	0.4936922	
751.22	0.48619776	0.49401508	
751.42	0.48724011	0.49433758	
751.62	0.48775551	0.49465969	
751.82	0.48789842	0.49498142	
752.02	0.4879581	0.49530278	
752.22	0.48857123	0.49562375	
752.42	0.48926544	0.49594435	
752.62	0.48960853	0.49626456	
752.82	0.49081523	0.4965844	
753.02	0.49138757	0.49690385	
753.22	0.49236001	0.49722293	
753.42	0.49306297	0.49754164	
753.62	0.49289973	0.49785996	
753.82	0.49331769	0.49817791	
754.02	0.49380317	0.49849549	
754.22	0.49365048	0.49881268	
754.42	0.49431207	0.49912951	
754.62	0.4946584	0.49944595	
754.82	0.49475598	0.49976203	
755.02	0.49473965	0.50007773	
755.22	0.49527329	0.50039306	
755.42	0.49567229	0.50070801	
755.62	0.49556807	0.50102259	
755.82	0.49570827	0.5013368	
756.02	0.49636473	0.50165064	
756.22	0.49711197	0.50196411	
756.42	0.49782074	0.5022772	
756.62	0.49803001	0.50258993	
756.82	0.49840988	0.50290229	
757.02	0.49846464	0.50321427	
757.22	0.49927446	0.50352589	
757.42	0.49992497	0.50383714	
757.62	0.49962425	0.50414802	
757.82	0.50001973	0.50445853	
758.02	0.49990695	0.50476868	
758.22	0.49994806	0.50507846	
758.42	0.50023697	0.50538787	
758.62	0.50020921	0.50569692	
758.82	0.50022197	0.5060056	
759.02	0.50048485	0.50631392	
759.22	0.50107443	0.50662187	
759.42	0.5013758	0.50692946	
759.62	0.50201104	0.50723669	
759.82	0.50220779	0.50754355	
760.02	0.5025397	0.50785005	
760.22	0.50247522	0.50815618	
760.42	0.50273316	0.50846196	
760.62	0.50319718	0.50876737	
760.82	0.50354284	0.50907242	
761.02	0.5041731	0.50937711	
761.22	0.5042946	0.50968144	
761.42	0.50472878	0.50998541	
761.62	0.50434157	0.51028902	
761.82	0.50416901	0.51059228	
762.02	0.50452385	0.51089517	
762.22	0.5044845	0.5111977	
762.42	0.50476252	0.51149988	
762.62	0.50526165	0.5118017	
762.82	0.50583466	0.51210316	
763.02	0.50660509	0.51240427	
763.22	0.5075179	0.51270502	
763.42	0.50786906	0.51300542	
763.62	0.50790893	0.51330546	
763.82	0.50721151	0.51360514	
764.02	0.50729481	0.51390447	
764.22	0.50751738	0.51420345	
764.42	0.50819393	0.51450207	
764.62	0.50847772	0.51480034	
764.82	0.50887209	0.51509826	
765.02	0.50927019	0.51539582	
765.22	0.5094862	0.51569304	
765.42	0.51018142	0.5159899	
765.62	0.51072484	0.51628641	
765.82	0.51100371	0.51658257	
766.02	0.51186152	0.51687838	
766.22	0.51182402	0.51717384	
766.42	0.51267346	0.51746895	
766.62	0.51302625	0.51776371	
766.82	0.51377892	0.51805812	
767.02	0.51404334	0.51835219	
767.22	0.5144565	0.51864591	
767.42	0.51450255	0.51893928	
767.62	0.51421794	0.5192323	
767.82	0.51445481	0.51952497	
768.02	0.51465493	0.5198173	
768.22	0.51492035	0.52010929	
768.42	0.51492549	0.52040093	
768.62	0.51510822	0.52069222	
768.82	0.51583237	0.52098317	
769.02	0.51628239	0.52127378	
769.22	0.51650033	0.52156404	
769.42	0.51691886	0.52185396	
769.62	0.51722207	0.52214354	
769.82	0.5175354	0.52243277	
770.02	0.5173471	0.52272166	
770.22	0.51716848	0.52301021	
770.42	0.51794981	0.52329842	
770.62	0.51810935	0.52358629	
770.82	0.51861402	0.52387382	
771.02	0.51902878	0.52416101	
771.22	0.51966454	0.52444785	
771.42	0.51979888	0.52473436	
771.62	0.51999478	0.52502053	
771.82	0.52058099	0.52530636	
772.02	0.52057582	0.52559186	
772.22	0.52083226	0.52587701	
772.42	0.5210182	0.52616183	
772.62	0.52176575	0.52644631	
772.82	0.52197635	0.52673046	
773.02	0.52213736	0.52701427	
773.22	0.52252346	0.52729774	
773.42	0.52293107	0.52758088	
773.62	0.52293723	0.52786369	
773.82	0.52300014	0.52814616	
774.02	0.52294869	0.52842829	
774.22	0.52380927	0.52871009	
774.42	0.52452898	0.52899156	
774.62	0.52453723	0.5292727	
774.82	0.52507103	0.5295535	
775.02	0.52577766	0.52983397	
775.22	0.52567753	0.53011411	
775.42	0.52577364	0.53039392	
775.62	0.52607847	0.5306734	
775.82	0.52646852	0.53095255	
776.02	0.52662191	0.53123136	
776.22	0.52727734	0.53150985	
776.42	0.52823285	0.53178801	
776.62	0.52885761	0.53206584	
776.82	0.52932489	0.53234334	
777.02	0.529982	0.53262051	
777.22	0.53058978	0.53289736	
777.42	0.53067909	0.53317387	
777.62	0.53082208	0.53345006	
777.82	0.53064306	0.53372593	
778.02	0.53110458	0.53400146	
778.22	0.53088564	0.53427668	
778.42	0.53128477	0.53455156	
778.62	0.53112846	0.53482612	
778.82	0.53136877	0.53510036	
779.02	0.53167501	0.53537427	
779.22	0.53149009	0.53564786	
779.42	0.53134281	0.53592112	
779.62	0.53110969	0.53619407	
779.82	0.53120308	0.53646669	
780.02	0.53153687	0.53673898	
780.22	0.53218892	0.53701096	
780.42	0.53331224	0.53728261	
780.62	0.53356852	0.53755394	
780.82	0.53435446	0.53782495	
781.02	0.5349586	0.53809564	
781.22	0.53589606	0.53836601	
781.42	0.5363023	0.53863606	
781.62	0.53664159	0.53890579	
781.82	0.53710794	0.53917521	
782.02	0.53784416	0.5394443	
782.22	0.53823225	0.53971307	
782.42	0.53898229	0.53998153	
782.62	0.53879099	0.54024967	
782.82	0.5391214	0.5405175	
783.02	0.53978109	0.540785	
783.22	0.53988839	0.54105219	
783.42	0.54007461	0.54131907	
783.62	0.53955933	0.54158562	
783.82	0.53945237	0.54185187	
784.02	0.53958642	0.5421178	
784.22	0.53948285	0.54238341	
784.42	0.53970039	0.54264871	
784.62	0.5392706	0.5429137	
784.82	0.53922778	0.54317837	
785.02	0.53953737	0.54344273	
785.22	0.53992324	0.54370677	
785.42	0.53976734	0.54397051	
785.62	0.54004525	0.54423393	
785.82	0.54006667	0.54449704	
786.02	0.53973676	0.54475984	
786.22	0.5401692	0.54502233	
786.42	0.54012062	0.54528451	
786.62	0.54043822	0.54554638	
786.82	0.54110511	0.54580794	
787.02	0.54155137	0.54606919	
787.22	0.54244953	0.54633013	
787.42	0.5430129	0.54659077	
787.62	0.54321119	0.54685109	
787.82	0.54400498	0.54711111	
788.02	0.54441279	0.54737082	
788.22	0.54486346	0.54763022	
788.42	0.54552037	0.54788932	
788.62	0.54603741	0.5481481	
788.82	0.54657758	0.54840659	
789.02	0.54746513	0.54866476	
789.22	0.54794827	0.54892264	
789.42	0.54794214	0.5491802	
789.62	0.54801614	0.54943747	
789.82	0.54814915	0.54969442	
790.02	0.54838235	0.54995108	
790.22	0.54912292	0.55020743	
790.42	0.54923896	0.55046348	
790.62	0.54975295	0.55071922	
790.82	0.54996655	0.55097467	
791.02	0.55014252	0.55122981	
791.22	0.55098757	0.55148464	
791.42	0.5511889	0.55173918	
791.62	0.55131072	0.55199342	
791.82	0.55111993	0.55224735	
792.02	0.55067599	0.55250099	
792.22	0.55091624	0.55275433	
792.42	0.5509001	0.55300736	
792.62	0.55074313	0.5532601	
792.82	0.55093034	0.55351254	
793.02	0.55097832	0.55376468	
793.22	0.5508849	0.55401652	
793.42	0.5503858	0.55426806	
793.62	0.55033792	0.55451931	
793.82	0.55081796	0.55477026	
794.02	0.55078095	0.55502091	
794.22	0.55099793	0.55527126	
794.42	0.55128723	0.55552132	
794.62	0.55155497	0.55577109	
794.82	0.55186174	0.55602056	
795.02	0.55262276	0.55626973	
795.22	0.55346412	0.55651861	
795.42	0.55372859	0.55676719	
795.62	0.55429413	0.55701548	
795.82	0.55436851	0.55726348	
796.02	0.55498458	0.55751119	
796.22	0.55603479	0.5577586	
796.42	0.55626625	0.55800572	
796.62	0.55663929	0.55825254	
796.82	0.55749152	0.55849908	
797.02	0.55763623	0.55874532	
797.22	0.55797716	0.55899127	
797.42	0.55792017	0.55923693	
797.62	0.55808772	0.5594823	
797.82	0.55815225	0.55972738	
798.02	0.55814115	0.55997217	
798.22	0.55816363	0.56021667	
798.42	0.5584743	0.56046088	
798.62	0.558471	0.56070481	
798.82	0.55921362	0.56094844	
799.02	0.55955351	0.56119179	
799.22	0.55995221	0.56143485	
799.42	0.55994931	0.56167762	
799.62	0.56071748	0.5619201	
799.82	0.56064306	0.5621623	
800.02	0.56100169	0.56240421	
800.22	0.56145215	0.56264584	
800.42	0.56109049	0.56288717	
800.62	0.56144137	0.56312823	
800.82	0.56137389	0.563369	
801.02	0.56177219	0.56360948	
801.22	0.56223752	0.56384968	
801.42	0.56276506	0.5640896	
801.62	0.56286909	0.56432923	
801.82	0.56334923	0.56456858	
802.02	0.56335511	0.56480764	
802.22	0.56382908	0.56504643	
802.42	0.56409994	0.56528493	
802.62	0.56459563	0.56552314	
802.82	0.56498545	0.56576108	
803.02	0.56501973	0.56599874	
803.22	0.56495206	0.56623611	
803.42	0.56530147	0.5664732	
803.62	0.56538376	0.56671002	
803.82	0.5655254	0.56694655	
804.02	0.56574368	0.5671828	
804.22	0.56622809	0.56741878	
804.42	0.56611209	0.56765447	
804.62	0.56636495	0.56788989	
804.82	0.56672434	0.56812503	
805.02	0.56752958	0.56835989	
805.22	0.56817012	0.56859447	
805.42	0.56875356	0.56882878	
805.62	0.56860653	0.5690628	
805.82	0.5686806	0.56929655	
806.02	0.56860238	0.56953003	
806.22	0.56940205	0.56976323	
806.42	0.56910232	0.56999615	
806.62	0.56919874	0.5702288	
806.82	0.56890777	0.57046117	
807.02	0.56951162	0.57069327	
807.22	0.5692953	0.57092509	
807.42	0.56986046	0.57115664	
807.62	0.5703302	0.57138791	
807.82	0.57093363	0.57161892	
808.02	0.57117599	0.57184964	
808.22	0.57165033	0.5720801	
808.42	0.5719895	0.57231028	
808.62	0.57229953	0.57254019	
808.82	0.57301144	0.57276983	
809.02	0.57340249	0.5729992	
809.22	0.57389757	0.5732283	
809.42	0.573815	0.57345712	
809.62	0.57364761	0.57368568	
809.82	0.5737954	0.57391396	
810.02	0.5737656	0.57414197	
810.22	0.57397746	0.57436972	
810.42	0.57335596	0.5745972	
810.62	0.57310395	0.5748244	
810.82	0.57360602	0.57505134	
811.02	0.5739574	0.57527801	
811.22	0.57388124	0.57550441	
811.42	0.574606	0.57573054	
811.62	0.57489962	0.57595641	
811.82	0.57460841	0.57618201	
812.02	0.57486036	0.57640734	
812.22	0.57524665	0.57663241	
812.42	0.57546078	0.57685721	
812.62	0.57583849	0.57708174	
812.82	0.5765673	0.57730601	
813.02	0.57667163	0.57753001	
813.22	0.57682945	0.57775375	
813.42	0.57718181	0.57797723	
813.62	0.57747279	0.57820044	
813.82	0.57754486	0.57842338	
814.02	0.57762877	0.57864606	
814.22	0.57760858	0.57886848	
814.42	0.57769525	0.57909064	
814.62	0.57794326	0.57931253	
814.82	0.57883827	0.57953416	
815.02	0.57936514	0.57975553	
815.22	0.58019822	0.57997664	
815.42	0.58020173	0.58019748	
815.62	0.5801526	0.58041807	
815.82	0.58091711	0.58063839	
816.02	0.58144318	0.58085845	
816.22	0.58159323	0.58107825	
816.42	0.58195057	0.5812978	
816.62	0.58253186	0.58151708	
816.82	0.58307945	0.5817361	
817.02	0.58308472	0.58195487	
817.22	0.58346629	0.58217337	
817.42	0.58371453	0.58239162	
817.62	0.58351101	0.58260961	
817.82	0.58354812	0.58282734	
818.02	0.58403488	0.58304482	
818.22	0.58400994	0.58326203	
818.42	0.58491865	0.58347899	
818.62	0.58503346	0.5836957	
818.82	0.58550978	0.58391215	
819.02	0.58583263	0.58412834	
819.22	0.58631893	0.58434427	
819.42	0.58636534	0.58455995	
819.62	0.5869407	0.58477538	
819.82	0.58751427	0.58499055	
820.02	0.5869736	0.58520547	
820.22	0.58698962	0.58542013	
820.42	0.58776235	0.58563454	
820.62	0.58801247	0.58584869	
820.82	0.58822732	0.58606259	
821.02	0.58816406	0.58627624	
821.22	0.58838364	0.58648964	
821.42	0.58875381	0.58670278	
821.62	0.589036	0.58691567	
821.82	0.58958654	0.58712831	
822.02	0.58989925	0.5873407	
822.22	0.59019047	0.58755284	
822.42	0.59073448	0.58776472	
822.62	0.59067302	0.58797636	
822.82	0.59065699	0.58818774	
823.02	0.59122889	0.58839888	
823.22	0.59138997	0.58860977	
823.42	0.59136114	0.5888204	
823.62	0.5909993	0.58903079	
823.82	0.59055431	0.58924093	
824.02	0.5901207	0.58945082	
824.22	0.59065848	0.58966046	
824.42	0.59061145	0.58986985	
824.62	0.59052532	0.590079	
824.82	0.59036962	0.5902879	
825.02	0.59041307	0.59049655	
825.22	0.59087892	0.59070496	
825.42	0.5912283	0.59091312	
825.62	0.59134485	0.59112103	
825.82	0.59163527	0.5913287	
826.02	0.59182989	0.59153612	
826.22	0.59264627	0.59174329	
826.42	0.59298035	0.59195022	
826.62	0.5932693	0.59215691	
826.82	0.59390213	0.59236335	
827.02	0.59477432	0.59256955	
827.22	0.5949565	0.5927755	
827.42	0.59537146	0.59298121	
827.62	0.59560992	0.59318668	
827.82	0.5959402	0.59339191	
828.02	0.59650032	0.59359689	
828.22	0.59692984	0.59380163	
828.42	0.59655802	0.59400612	
828.62	0.59710807	0.59421038	
828.82	0.59731588	0.59441439	
829.02	0.59764744	0.59461816	
829.22	0.59777022	0.5948217	
829.42	0.59805163	0.59502499	
829.62	0.59850334	0.59522804	
829.82	0.59864779	0.59543085	
830.02	0.59862823	0.59563342	
830.22	0.59903697	0.59583575	
830.42	0.59876071	0.59603784	
830.62	0.59947968	0.59623969	
830.82	0.60011657	0.59644131	
831.02	0.60075052	0.59664268	
831.22	0.60118268	0.59684382	
831.42	0.6015767	0.59704472	
831.62	0.60178824	0.59724538	
831.82	0.60175256	0.59744581	
832.02	0.60165471	0.59764599	
832.22	0.60200257	0.59784594	
832.42	0.60200786	0.59804566	
832.62	0.60259206	0.59824514	
832.82	0.60261109	0.59844438	
833.02	0.60276362	0.59864339	
833.22	0.60286187	0.59884216	
833.42	0.60311116	0.5990407	
833.62	0.6027282	0.599239	
833.82	0.6021594	0.59943706	
834.02	0.60232055	0.5996349	
834.22	0.60281322	0.5998325	
834.42	0.60289253	0.60002986	
834.62	0.6034733	0.60022699	
834.82	0.6038599	0.60042389	
835.02	0.60433632	0.60062056	
835.22	0.60466056	0.60081699	
835.42	0.60484297	0.60101319	
835.62	0.60490708	0.60120916	
835.82	0.60530926	0.6014049	
836.02	0.60571419	0.60160041	
