Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	0.000398783111523868	
Error Kobs	5.09154031860846E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
726.62	0.37342564	0.37143178	
726.82	0.37405909	0.3716733	
727.02	0.3741805	0.37191455	
727.22	0.37463626	0.37215554	
727.42	0.37526318	0.37239626	
727.62	0.37502361	0.37263672	
727.82	0.37558363	0.37287692	
728.02	0.37590456	0.37311686	
728.22	0.37606922	0.37335653	
728.42	0.37679849	0.37359595	
728.62	0.37754977	0.3738351	
728.82	0.37750699	0.374074	
729.02	0.3775438	0.37431264	
729.22	0.377326	0.37455101	
729.42	0.37791975	0.37478913	
729.62	0.37834142	0.37502699	
729.82	0.37895451	0.3752646	
730.02	0.37905566	0.37550194	
730.22	0.37913985	0.37573903	
730.42	0.37933181	0.37597587	
730.62	0.3801702	0.37621245	
730.82	0.38057737	0.37644877	
731.02	0.3807966	0.37668484	
731.22	0.38126385	0.37692065	
731.42	0.38168082	0.37715621	
731.62	0.38182671	0.37739152	
731.82	0.38272531	0.37762657	
732.02	0.38330688	0.37786137	
732.22	0.38448671	0.37809591	
732.42	0.38523217	0.37833021	
732.62	0.38547944	0.37856425	
732.82	0.38560855	0.37879804	
733.02	0.38629141	0.37903158	
733.22	0.3860205	0.37926486	
733.42	0.38638261	0.3794979	
733.62	0.38665675	0.37973069	
733.82	0.38636097	0.37996322	
734.02	0.38622071	0.38019551	
734.22	0.38593829	0.38042754	
734.42	0.38563973	0.38065933	
734.62	0.38551665	0.38089087	
734.82	0.38502207	0.38112215	
735.02	0.38496759	0.38135319	
735.22	0.38504894	0.38158399	
735.42	0.38467969	0.38181453	
735.62	0.3846876	0.38204483	
735.82	0.38534875	0.38227488	
736.02	0.386175	0.38250468	
736.22	0.38688477	0.38273424	
736.42	0.38704887	0.38296354	
736.62	0.38729547	0.38319261	
736.82	0.38830228	0.38342142	
737.02	0.38906864	0.38365	
737.22	0.38943399	0.38387832	
737.42	0.39039975	0.3841064	
737.62	0.39036111	0.38433424	
737.82	0.39031131	0.38456183	
738.02	0.39049354	0.38478918	
738.22	0.39040681	0.38501628	
738.42	0.39028818	0.38524315	
738.62	0.39030756	0.38546976	
738.82	0.39032761	0.38569614	
739.02	0.39069749	0.38592227	
739.22	0.39111757	0.38614815	
739.42	0.39148933	0.3863738	
739.62	0.39234156	0.3865992	
739.82	0.39299793	0.38682437	
740.02	0.39313329	0.38704929	
740.22	0.39350181	0.38727397	
740.42	0.39372162	0.3874984	
740.62	0.3942011	0.3877226	
740.82	0.3948514	0.38794656	
741.02	0.39477934	0.38817028	
741.22	0.39496449	0.38839375	
741.42	0.3950242	0.38861699	
741.62	0.39463078	0.38883999	
741.82	0.39538902	0.38906275	
742.02	0.39528578	0.38928527	
742.22	0.39562324	0.38950755	
742.42	0.39605904	0.38972959	
742.62	0.39628069	0.38995139	
742.82	0.39598679	0.39017296	
743.02	0.39672135	0.39039429	
743.22	0.39715298	0.39061538	
743.42	0.39717331	0.39083623	
743.62	0.3974426	0.39105685	
743.82	0.39790047	0.39127723	
744.02	0.39798875	0.39149738	
744.22	0.399017	0.39171729	
744.42	0.39915529	0.39193696	
744.62	0.39955559	0.39215639	
744.82	0.40022909	0.3923756	
745.02	0.40005456	0.39259456	
745.22	0.40048015	0.39281329	
745.42	0.40051451	0.39303179	
745.62	0.40078937	0.39325005	
745.82	0.40079944	0.39346808	
746.02	0.4005938	0.39368588	
746.22	0.4011206	0.39390344	
746.42	0.40104738	0.39412077	
746.62	0.40066411	0.39433786	
746.82	0.4004305	0.39455472	
747.02	0.4009711	0.39477135	
747.22	0.40145985	0.39498775	
747.42	0.40185055	0.39520392	
747.62	0.40226643	0.39541985	
747.82	0.40288006	0.39563555	
748.02	0.40310897	0.39585102	
748.22	0.40417862	0.39606626	
748.42	0.40436209	0.39628127	
748.62	0.40477396	0.39649605	
748.82	0.40490043	0.39671059	
749.02	0.40468357	0.39692491	
749.22	0.40489183	0.397139	
749.42	0.40455586	0.39735286	
749.62	0.40470163	0.39756649	
749.82	0.40418167	0.39777989	
750.02	0.40430918	0.39799306	
750.22	0.40455705	0.398206	
750.42	0.40469787	0.39841871	
750.62	0.40493323	0.3986312	
750.82	0.40514618	0.39884346	
751.02	0.40548443	0.39905549	
751.22	0.40584719	0.39926729	
751.42	0.40605187	0.39947887	
751.62	0.4063679	0.39969021	
751.82	0.40684116	0.39990134	
752.02	0.40717932	0.40011223	
752.22	0.40769841	0.4003229	
752.42	0.40824859	0.40053335	
752.62	0.40854222	0.40074356	
752.82	0.40912492	0.40095356	
753.02	0.4096071	0.40116332	
753.22	0.40993871	0.40137287	
753.42	0.41038764	0.40158218	
753.62	0.41067797	0.40179128	
753.82	0.41139876	0.40200014	
754.02	0.41180798	0.40220879	
754.22	0.41244027	0.40241721	
754.42	0.41299563	0.40262541	
754.62	0.41324259	0.40283338	
754.82	0.41315493	0.40304113	
755.02	0.4133312	0.40324866	
755.22	0.41362306	0.40345597	
755.42	0.41386541	0.40366305	
755.62	0.41371225	0.40386991	
755.82	0.41388472	0.40407655	
756.02	0.41385193	0.40428297	
756.22	0.41377068	0.40448917	
756.42	0.41407502	0.40469514	
756.62	0.41404466	0.4049009	
756.82	0.41398519	0.40510643	
757.02	0.41389363	0.40531175	
757.22	0.41410244	0.40551684	
757.42	0.41476272	0.40572171	
757.62	0.41495238	0.40592637	
757.82	0.41542986	0.4061308	
758.02	0.41528023	0.40633502	
758.22	0.41586345	0.40653901	
758.42	0.41614727	0.40674279	
758.62	0.41592358	0.40694635	
758.82	0.41592702	0.40714969	
759.02	0.41625126	0.40735281	
759.22	0.41682608	0.40755572	
759.42	0.41668438	0.40775841	
759.62	0.41709769	0.40796088	
759.82	0.41742141	0.40816313	
760.02	0.41718666	0.40836516	
760.22	0.41723033	0.40856698	
760.42	0.41729245	0.40876859	
760.62	0.417573	0.40896997	
760.82	0.4177156	0.40917114	
761.02	0.41833519	0.4093721	
761.22	0.4180268	0.40957284	
761.42	0.41814779	0.40977336	
761.62	0.41799912	0.40997367	
761.82	0.41782817	0.41017376	
762.02	0.41807891	0.41037364	
762.22	0.41783069	0.41057331	
762.42	0.41797211	0.41077276	
762.62	0.418119	0.410972	
762.82	0.41830984	0.41117102	
763.02	0.41935007	0.41136983	
763.22	0.42034762	0.41156843	
763.42	0.42022575	0.41176681	
763.62	0.42088393	0.41196498	
763.82	0.4203983	0.41216294	
764.02	0.4204043	0.41236069	
764.22	0.42070726	0.41255822	
764.42	0.42094754	0.41275554	
764.62	0.42122381	0.41295265	
764.82	0.42180626	0.41314955	
765.02	0.42227972	0.41334624	
765.22	0.42208402	0.41354272	
765.42	0.42251449	0.41373899	
765.62	0.42268991	0.41393504	
765.82	0.42299212	0.41413089	
766.02	0.42314937	0.41432652	
766.22	0.42283093	0.41452195	
766.42	0.42338688	0.41471717	
766.62	0.42323671	0.41491217	
766.82	0.42366314	0.41510697	
767.02	0.42442553	0.41530156	
767.22	0.42472355	0.41549594	
767.42	0.42449675	0.41569011	
767.62	0.42460377	0.41588408	
767.82	0.424591	0.41607783	
768.02	0.42516978	0.41627138	
768.22	0.42554296	0.41646472	
768.42	0.4258516	0.41665785	
768.62	0.42613148	0.41685078	
768.82	0.42709228	0.4170435	
769.02	0.4276802	0.41723601	
769.22	0.42776873	0.41742832	
769.42	0.4281787	0.41762042	
769.62	0.42852729	0.41781231	
769.82	0.42901509	0.418004	
770.02	0.42857826	0.41819548	
770.22	0.42846126	0.41838676	
770.42	0.42890854	0.41857783	
770.62	0.42898324	0.4187687	
770.82	0.4293272	0.41895936	
771.02	0.42940119	0.41914982	
771.22	0.42930111	0.41934007	
771.42	0.42919483	0.41953012	
771.62	0.42933073	0.41971997	
771.82	0.43016201	0.41990961	
772.02	0.42990509	0.42009905	
772.22	0.42997549	0.42028828	
772.42	0.43036971	0.42047732	
772.62	0.4307756	0.42066614	
772.82	0.43129761	0.42085477	
773.02	0.43114829	0.4210432	
773.22	0.43137094	0.42123142	
773.42	0.43199782	0.42141944	
773.62	0.4318134	0.42160726	
773.82	0.43177935	0.42179488	
774.02	0.43154065	0.4219823	
774.22	0.43173634	0.42216951	
774.42	0.43200949	0.42235653	
774.62	0.43174175	0.42254334	
774.82	0.43172198	0.42272996	
775.02	0.43161635	0.42291637	
775.22	0.43104731	0.42310259	
775.42	0.43104517	0.4232886	
775.62	0.43090054	0.42347442	
775.82	0.43139683	0.42366003	
776.02	0.43096753	0.42384545	
776.22	0.43154266	0.42403067	
776.42	0.43250012	0.42421569	
776.62	0.43284969	0.42440051	
776.82	0.43324955	0.42458513	
777.02	0.43351776	0.42476955	
777.22	0.43458343	0.42495378	
777.42	0.43520788	0.42513781	
777.62	0.43514197	0.42532164	
777.82	0.43534618	0.42550528	
778.02	0.43560874	0.42568871	
778.22	0.43593453	0.42587196	
778.42	0.43653392	0.426055	
778.62	0.43657457	0.42623785	
778.82	0.43678567	0.4264205	
779.02	0.43699293	0.42660296	
779.22	0.43693383	0.42678522	
779.42	0.437356	0.42696728	
779.62	0.43701948	0.42714915	
779.82	0.4372511	0.42733083	
780.02	0.43731274	0.42751231	
780.22	0.43760521	0.4276936	
780.42	0.43859022	0.42787469	
780.62	0.43846907	0.42805558	
780.82	0.43917125	0.42823629	
781.02	0.43951391	0.4284168	
781.22	0.44000498	0.42859711	
781.42	0.43977651	0.42877723	
781.62	0.43927374	0.42895716	
781.82	0.43944394	0.4291369	
782.02	0.43976723	0.42931644	
782.22	0.44017576	0.42949579	
782.42	0.44033045	0.42967495	
782.62	0.44021105	0.42985392	
782.82	0.44048787	0.43003269	
783.02	0.44093238	0.43021128	
783.22	0.44097223	0.43038967	
783.42	0.44153049	0.43056787	
783.62	0.4407676	0.43074588	
783.82	0.44115864	0.43092369	
784.02	0.4416761	0.43110132	
784.22	0.44158815	0.43127876	
784.42	0.44210764	0.431456	
784.62	0.44144081	0.43163306	
784.82	0.44153503	0.43180993	
785.02	0.44162034	0.4319866	
785.22	0.44147801	0.43216309	
785.42	0.4412754	0.43233939	
785.62	0.44136761	0.4325155	
785.82	0.44170122	0.43269142	
786.02	0.44140404	0.43286715	
786.22	0.44161324	0.43304269	
786.42	0.44152513	0.43321805	
786.62	0.44204625	0.43339321	
786.82	0.44240657	0.43356819	
787.02	0.44249393	0.43374298	
787.22	0.44273003	0.43391759	
787.42	0.44323353	0.434092	
787.62	0.44335468	0.43426623	
787.82	0.44394822	0.43444028	
788.02	0.44415375	0.43461413	
788.22	0.44403492	0.4347878	
788.42	0.44473217	0.43496129	
788.62	0.44488109	0.43513458	
788.82	0.44499316	0.43530769	
789.02	0.44555617	0.43548062	
789.22	0.44533196	0.43565336	
789.42	0.44552852	0.43582592	
789.62	0.44545549	0.43599829	
789.82	0.445855	0.43617047	
790.02	0.44566826	0.43634247	
790.22	0.44603469	0.43651429	
790.42	0.44604204	0.43668592	
790.62	0.44648817	0.43685737	
790.82	0.44604164	0.43702863	
791.02	0.44565409	0.43719971	
791.22	0.44627098	0.43737061	
791.42	0.44650533	0.43754132	
791.62	0.44676488	0.43771185	
791.82	0.44684121	0.4378822	
792.02	0.44680872	0.43805237	
792.22	0.44693451	0.43822235	
792.42	0.44713	0.43839215	
792.62	0.44687859	0.43856177	
792.82	0.44668259	0.4387312	
793.02	0.44694808	0.43890046	
793.22	0.446717	0.43906953	
793.42	0.4469266	0.43923842	
793.62	0.44691717	0.43940713	
793.82	0.44776274	0.43957566	
794.02	0.44747575	0.43974401	
794.22	0.44737972	0.43991218	
