Conc1	1E-06	
Start1	690.02	
Stop1	2789.81	
Kobs	3.00649754100273E-47	
Error Kobs	2.71148526510491E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
726.42	0.17727683	0.18762428	
726.62	0.17766986	0.18807053	
726.82	0.17821878	0.18851367	
727.02	0.17765029	0.18895371	
727.22	0.17778423	0.1893907	
727.42	0.17803794	0.18982466	
727.62	0.17785412	0.19025562	
727.82	0.17754613	0.19068361	
728.02	0.17804576	0.19110866	
728.22	0.17817249	0.19153081	
728.42	0.17898583	0.19195007	
728.62	0.1794257	0.19236647	
728.82	0.17939048	0.19278005	
729.02	0.17968691	0.19319083	
729.22	0.17941366	0.19359884	
729.42	0.18030392	0.19400411	
729.62	0.18092481	0.19440666	
729.82	0.18202341	0.19480652	
730.02	0.18249033	0.19520372	
730.22	0.18284893	0.19559827	
730.42	0.18386455	0.19599022	
730.62	0.1850072	0.19637958	
730.82	0.18548834	0.19676638	
731.02	0.18591586	0.19715064	
731.22	0.18668268	0.1975324	
731.42	0.18709781	0.19791166	
731.62	0.18736454	0.19828846	
731.82	0.18796323	0.19866283	
732.02	0.18871088	0.19903478	
732.22	0.18950769	0.19940434	
732.42	0.19015091	0.19977153	
732.62	0.19008691	0.20013637	
732.82	0.18991473	0.20049889	
733.02	0.19015648	0.20085912	
733.22	0.18961466	0.20121706	
733.42	0.18990276	0.20157275	
733.62	0.19018242	0.20192621	
733.82	0.19036184	0.20227746	
734.02	0.19030708	0.20262651	
734.22	0.19042973	0.2029734	
734.42	0.19066221	0.20331814	
734.62	0.19084213	0.20366075	
734.82	0.19123666	0.20400125	
735.02	0.19170226	0.20433967	
735.22	0.19189528	0.20467602	
735.42	0.1920937	0.20501033	
735.62	0.19247965	0.20534261	
735.82	0.19333648	0.20567288	
736.02	0.1941378	0.20600116	
736.22	0.19538192	0.20632748	
736.42	0.19534066	0.20665185	
736.62	0.19524728	0.20697428	
736.82	0.19577941	0.20729481	
737.02	0.19636065	0.20761344	
737.22	0.19637649	0.20793019	
737.42	0.19680089	0.20824509	
737.62	0.1967244	0.20855815	
737.82	0.19658942	0.20886938	
738.02	0.19673425	0.20917881	
738.22	0.19728685	0.20948646	
738.42	0.19757398	0.20979233	
738.62	0.19788213	0.21009645	
738.82	0.19811725	0.21039883	
739.02	0.19826161	0.21069949	
739.22	0.19936013	0.21099845	
739.42	0.20046764	0.21129572	
739.62	0.20168513	0.21159132	
739.82	0.202281	0.21188526	
740.02	0.20290775	0.21217757	
740.22	0.20376621	0.21246825	
740.42	0.20426217	0.21275732	
740.62	0.20490088	0.2130448	
740.82	0.20560686	0.2133307	
741.02	0.20550355	0.21361503	
741.22	0.20543713	0.21389782	
741.42	0.20519314	0.21417907	
741.62	0.20480933	0.21445881	
741.82	0.20537036	0.21473703	
742.02	0.20533424	0.21501377	
742.22	0.20564156	0.21528903	
742.42	0.20576362	0.21556283	
742.62	0.20550089	0.21583518	
742.82	0.20507171	0.21610609	
743.02	0.20626689	0.21637559	
743.22	0.20717875	0.21664367	
743.42	0.20728634	0.21691036	
743.62	0.20761274	0.21717566	
743.82	0.20796683	0.2174396	
744.02	0.20901021	0.21770218	
744.22	0.21059323	0.21796341	
744.42	0.21132278	0.21822332	
744.62	0.21216204	0.2184819	
744.82	0.21292655	0.21873918	
745.02	0.21304034	0.21899516	
745.22	0.21337575	0.21924987	
745.42	0.21335349	0.2195033	
745.62	0.21328728	0.21975547	
745.82	0.21298198	0.2200064	
746.02	0.21260174	0.22025609	
746.22	0.21240701	0.22050456	
746.42	0.21201043	0.22075181	
746.62	0.21135476	0.22099787	
746.82	0.21089664	0.22124273	
747.02	0.21108612	0.22148641	
747.22	0.21078518	0.22172893	
747.42	0.21116405	0.22197029	
747.62	0.21201972	0.2222105	
747.82	0.21278928	0.22244958	
748.02	0.21369102	0.22268753	
748.22	0.21489591	0.22292436	
748.42	0.21525784	0.22316009	
748.62	0.21592217	0.22339473	
748.82	0.21680856	0.22362828	
749.02	0.21698178	0.22386075	
749.22	0.21757523	0.22409216	
749.42	0.21786209	0.22432251	
749.62	0.21785142	0.22455182	
749.82	0.21747502	0.22478009	
750.02	0.21804755	0.22500733	
750.22	0.21820814	0.22523356	
750.42	0.21839314	0.22545878	
750.62	0.21845009	0.225683	
750.82	0.21865383	0.22590622	
751.02	0.21890647	0.22612847	
751.22	0.21915809	0.22634975	
751.42	0.21955075	0.22657006	
751.62	0.22005201	0.22678941	
751.82	0.22028022	0.22700782	
752.02	0.22054496	0.22722529	
752.22	0.22083521	0.22744184	
752.42	0.22136844	0.22765746	
752.62	0.22218673	0.22787217	
752.82	0.22319004	0.22808597	
753.02	0.22331017	0.22829888	
753.22	0.22402815	0.2285109	
753.42	0.2243779	0.22872204	
753.62	0.22439819	0.22893231	
753.82	0.22477317	0.22914171	
754.02	0.22514723	0.22935025	
754.22	0.22546859	0.22955795	
754.42	0.22623445	0.2297648	
754.62	0.22657066	0.22997082	
754.82	0.22675475	0.23017601	
755.02	0.22673244	0.23038038	
755.22	0.22707529	0.23058394	
755.42	0.22772402	0.23078669	
755.62	0.22779378	0.23098864	
755.82	0.22826397	0.2311898	
756.02	0.22889339	0.23139018	
756.22	0.22952593	0.23158978	
756.42	0.23015886	0.23178861	
756.62	0.23083857	0.23198668	
756.82	0.23046678	0.23218399	
757.02	0.23023496	0.23238054	
757.22	0.23066384	0.23257636	
757.42	0.23113291	0.23277143	
757.62	0.23066653	0.23296578	
757.82	0.23056867	0.2331594	
758.02	0.22963726	0.2333523	
758.22	0.22952325	0.23354448	
758.42	0.22928656	0.23373596	
758.62	0.22859318	0.23392674	
758.82	0.22832672	0.23411683	
759.02	0.22836967	0.23430623	
759.22	0.22887261	0.23449494	
759.42	0.2291405	0.23468298	
759.62	0.22962918	0.23487035	
759.82	0.2304375	0.23505705	
760.02	0.23074648	0.2352431	
760.22	0.23112973	0.23542849	
760.42	0.23154036	0.23561323	
760.62	0.23189533	0.23579733	
760.82	0.23193279	0.23598079	
761.02	0.23269661	0.23616362	
761.22	0.2332837	0.23634582	
761.42	0.23353932	0.2365274	
761.62	0.23318091	0.23670837	
761.82	0.23318402	0.23688872	
762.02	0.2331804	0.23706847	
762.22	0.2331497	0.23724762	
762.42	0.23399652	0.23742617	
762.62	0.23436741	0.23760413	
762.82	0.23489712	0.23778151	
763.02	0.23591972	0.2379583	
763.22	0.23668899	0.23813452	
763.42	0.23726243	0.23831017	
763.62	0.23794306	0.23848525	
763.82	0.23799534	0.23865977	
764.02	0.23801891	0.23883373	
764.22	0.23813142	0.23900714	
764.42	0.23847404	0.23918	
764.62	0.23811878	0.23935231	
764.82	0.2385787	0.23952409	
765.02	0.2390799	0.23969533	
765.22	0.23914325	0.23986604	
765.42	0.23929678	0.24003623	
765.62	0.23917938	0.24020589	
765.82	0.23914346	0.24037504	
766.02	0.23946829	0.24054367	
766.22	0.23916131	0.24071179	
766.42	0.24001957	0.24087941	
766.62	0.23969617	0.24104652	
766.82	0.24026353	0.24121314	
767.02	0.240563	0.24137927	
767.22	0.24018897	0.2415449	
767.42	0.24048578	0.24171005	
767.62	0.24057132	0.24187472	
767.82	0.24049567	0.24203891	
768.02	0.24054686	0.24220263	
768.22	0.24092554	0.24236588	
768.42	0.24152592	0.24252866	
768.62	0.24143754	0.24269097	
768.82	0.24262859	0.24285283	
769.02	0.24314728	0.24301423	
769.22	0.24360949	0.24317518	
769.42	0.24366763	0.24333569	
769.62	0.24359797	0.24349574	
769.82	0.24413586	0.24365536	
770.02	0.24410136	0.24381454	
770.22	0.24428663	0.24397328	
770.42	0.24490884	0.24413159	
770.62	0.24492813	0.24428947	
770.82	0.24537067	0.24444693	
771.02	0.24546632	0.24460397	
771.22	0.24513728	0.24476058	
771.42	0.24549585	0.24491679	
771.62	0.2454444	0.24507258	
771.82	0.24602558	0.24522796	
772.02	0.24621972	0.24538293	
772.22	0.24644618	0.24553751	
772.42	0.2466651	0.24569168	
772.62	0.24711317	0.24584546	
772.82	0.24803772	0.24599884	
773.02	0.24822544	0.24615183	
773.22	0.24895322	0.24630444	
773.42	0.24915811	0.24645666	
773.62	0.24966407	0.24660849	
773.82	0.24992313	0.24675995	
774.02	0.249538	0.24691103	
774.22	0.24976119	0.24706174	
774.42	0.24982605	0.24721208	
774.62	0.24940344	0.24736205	
774.82	0.24951843	0.24751165	
775.02	0.24986623	0.24766089	
775.22	0.24905252	0.24780977	
775.42	0.2487458	0.24795829	
775.62	0.24849686	0.24810646	
775.82	0.24873637	0.24825427	
776.02	0.24859491	0.24840174	
776.22	0.24905932	0.24854885	
776.42	0.2496575	0.24869563	
776.62	0.2504045	0.24884206	
776.82	0.25088942	0.24898814	
777.02	0.2516832	0.2491339	
777.22	0.25245228	0.24927931	
777.42	0.2531072	0.2494244	
777.62	0.25362148	0.24956915	
777.82	0.25340326	0.24971357	
778.02	0.2533005	0.24985767	
778.22	0.25334416	0.25000145	
778.42	0.25353806	0.2501449	
778.62	0.25337298	0.25028803	
778.82	0.25331524	0.25043085	
779.02	0.25338472	0.25057335	
779.22	0.25301979	0.25071554	
779.42	0.25309843	0.25085742	
779.62	0.25316814	0.25099899	
779.82	0.25364176	0.25114026	
780.02	0.25404569	0.25128122	
780.22	0.25400219	0.25142188	
780.42	0.25471652	0.25156223	
780.62	0.25510717	0.25170229	
780.82	0.25556298	0.25184206	
781.02	0.25654377	0.25198153	
781.22	0.25678262	0.2521207	
781.42	0.25752275	0.25225959	
781.62	0.25769373	0.25239819	
781.82	0.25776371	0.2525365	
782.02	0.25798692	0.25267453	
782.22	0.25833132	0.25281228	
782.42	0.25857096	0.25294974	
782.62	0.25850215	0.25308692	
782.82	0.25839227	0.25322383	
783.02	0.2591466	0.25336047	
783.22	0.25956506	0.25349682	
783.42	0.25977365	0.25363291	
783.62	0.25944637	0.25376873	
783.82	0.25947349	0.25390428	
784.02	0.25931614	0.25403956	
784.22	0.25904132	0.25417458	
784.42	0.25962123	0.25430933	
784.62	0.25934722	0.25444382	
784.82	0.25908832	0.25457806	
785.02	0.25947562	0.25471203	
785.22	0.25946971	0.25484575	
785.42	0.25978811	0.25497921	
785.62	0.25990061	0.25511242	
785.82	0.25993757	0.25524537	
786.02	0.26005753	0.25537808	
786.22	0.26045798	0.25551054	
786.42	0.26046647	0.25564274	
786.62	0.26090276	0.25577471	
786.82	0.26159976	0.25590643	
787.02	0.26152787	0.2560379	
787.22	0.2619016	0.25616914	
787.42	0.26256419	0.25630013	
787.62	0.26235941	0.25643089	
787.82	0.26234675	0.25656141	
788.02	0.26269021	0.25669169	
788.22	0.26300475	0.25682174	
788.42	0.26348902	0.25695156	
788.62	0.26346624	0.25708114	
788.82	0.2636509	0.25721049	
789.02	0.26415953	0.25733962	
789.22	0.2640285	0.25746852	
789.42	0.26349073	0.25759719	
789.62	0.26309767	0.25772563	
789.82	0.26337841	0.25785385	
790.02	0.2636693	0.25798185	
790.22	0.263683	0.25810963	
790.42	0.26366911	0.25823719	
790.62	0.26423874	0.25836453	
790.82	0.26384461	0.25849166	
791.02	0.26347372	0.25861856	
791.22	0.2642652	0.25874525	
791.42	0.2644641	0.25887173	
791.62	0.26423408	0.258998	
791.82	0.26425527	0.25912405	
792.02	0.26488916	0.25924989	
792.22	0.26516694	0.25937553	
792.42	0.26544261	0.25950095	
792.62	0.26545696	0.25962617	
792.82	0.26531923	0.25975119	
793.02	0.26561785	0.25987599	
793.22	0.26554219	0.2600006	
793.42	0.26552641	0.260125	
793.62	0.26599376	0.2602492	
793.82	0.2671949	0.26037321	
794.02	0.26719842	0.26049701	
794.22	0.26715676	0.26062061	
794.42	0.26772284	0.26074402	
794.62	0.26780554	0.26086723	
794.82	0.26781963	0.26099024	
795.02	0.26827074	0.26111306	
795.22	0.2687464	0.26123569	
795.42	0.26868273	0.26135813	
795.62	0.26909664	0.26148037	
795.82	0.26892688	0.26160243	
796.02	0.26936943	0.26172429	
796.22	0.2695027	0.26184597	
796.42	0.26925957	0.26196746	
796.62	0.26909804	0.26208876	
796.82	0.26921957	0.26220988	
797.02	0.26981822	0.26233081	
797.22	0.26974803	0.26245156	
797.42	0.26987876	0.26257213	
797.62	0.26989394	0.26269251	
797.82	0.27028624	0.26281272	
798.02	0.26993019	0.26293274	
798.22	0.2696584	0.26305258	
798.42	0.2695249	0.26317225	
798.62	0.269439	0.26329174	
798.82	0.26963287	0.26341105	
799.02	0.26966641	0.26353019	
799.22	0.27028345	0.26364915	
799.42	0.2703419	0.26376793	
799.62	0.27123616	0.26388655	
799.82	0.27118959	0.26400499	
800.02	0.27156196	0.26412326	
800.22	0.2717713	0.26424135	
800.42	0.27151313	0.26435928	
800.62	0.27255678	0.26447704	
800.82	0.27289086	0.26459463	
801.02	0.27327697	0.26471205	
801.22	0.27342291	0.26482931	
801.42	0.27385037	0.26494639	
801.62	0.2739224	0.26506332	
801.82	0.27402942	0.26518007	
802.02	0.27372972	0.26529667	
802.22	0.27362437	0.2654131	
802.42	0.27339165	0.26552937	
802.62	0.27381837	0.26564547	
802.82	0.2733336	0.26576141	
803.02	0.27318869	0.2658772	
803.22	0.27315218	0.26599282	
803.42	0.27296965	0.26610829	
803.62	0.27265797	0.26622359	
803.82	0.27261711	0.26633874	
804.02	0.27304816	0.26645373	
804.22	0.27367115	0.26656856	
804.42	0.27377919	0.26668324	
804.62	0.27475379	0.26679776	
804.82	0.27469769	0.26691213	
805.02	0.2754035	0.26702634	
805.22	0.27570723	0.2671404	
805.42	0.27628265	0.26725431	
805.62	0.27657038	0.26736807	
805.82	0.27694546	0.26748167	
806.02	0.27707714	0.26759512	
806.22	0.27773122	0.26770843	
806.42	0.2777634	0.26782158	
806.62	0.27800393	0.26793458	
806.82	0.27739258	0.26804744	
807.02	0.2777575	0.26816015	
807.22	0.27736962	0.26827271	
807.42	0.27716795	0.26838512	
807.62	0.27715494	0.26849739	
807.82	0.27752632	0.26860951	
808.02	0.27734471	0.26872148	
808.22	0.27748781	0.26883332	
808.42	0.27743649	0.268945	
808.62	0.27813679	0.26905655	
808.82	0.27833681	0.26916795	
809.02	0.27868631	0.26927921	
809.22	0.27894566	0.26939032	
809.42	0.27893024	0.2695013	
809.62	0.27897599	0.26961213	
809.82	0.27970268	0.26972283	
810.02	0.27992635	0.26983338	
810.22	0.28058062	0.2699438	
810.42	0.28039514	0.27005408	
810.62	0.27983994	0.27016421	
810.82	0.27985805	0.27027421	
811.02	0.27983559	0.27038408	
811.22	0.27931201	0.2704938	
811.42	0.2795757	0.27060339	
811.62	0.27954204	0.27071285	
811.82	0.2790208	0.27082217	
812.02	0.27911799	0.27093135	
812.22	0.27965596	0.2710404	
812.42	0.27947883	0.27114931	
812.62	0.27976315	0.2712581	
812.82	0.27976453	0.27136674	
813.02	0.27946719	0.27147526	
